;Preprocessed Title and Abstract
801;management research-and-development outsourcing evidence pharmaceutical outsourcing research-and-development r&d activity major management issue research-and-development technical manager growing concern academic trying chart implication increasingly distributed nature innovative activity advanced economy survey research‐based pharmaceutical company operating united kingdom conducted aim outline main reason pharmaceutical outsource research-and-development management practice followed company relation outsourcing relation example reason outsourcing decision‐making practice barrier outsourcing arrangement issue evaluated characteristic specific outsourced
1601;demand supply external finance innovative access finance figured prominently debate barrier existing conclusive evidence finance gap extent innovation aggravates financial constraint innovation input output play market external article analyze firm-level innovation affect likelihood seeking external finance likelihood obtaining analyze original set medium size enterprise middle-market containing information innovation behavior performance finance period controlling firm-specific characteristic novel extensive evidence link innovation input output dimension demand external supply
216;locational dynamic biotech industry knowledge externality anchor hypothesis biotechnology distinct industry automobile steel instead knowledge base a rapidly evolving technology that economically valuable application diverse industry pharmaceutical medical diagnostics agriculture bio-environmental remediation chemical processing biotech stage competing hypothesis future adapts concept anchor tenant real estate economics explore locational concentration specialization emerging biotech industry established anchor technology create knowledge externality dedicated biotech overall innovative output region
1666;pre-empted patent infringed patent participation market technology recent increasingly contributed confronted patent landscape characterized numerous marginal invention overlapping claim patent fence risk patent application pre-empted infringed rival aspect constitute major challenge appropriation return inventive activity extant suggests participation market technology actually resolve alleviate investigate pre-empted infringed patent engagement cross-licensing german manufacturing engage in-licensing reaction pre-empted patent cross-licensing protected infringed vary depending fragmentation technology field operates discrete complex product industry
2268;long‐term orientation create value evidence regression discontinuity summary theorize empirically investigate long‐term orientation value relationship exploit exogenous change executive long‐term incentive specifically examine shareholder proposal long‐term executive compensation pas fail margin vote passage close proposal akin random assignment long‐term incentive clean causal estimate adoption proposal lead value operating performance suggesting long‐term orientation beneficial companies and investment long‐term strategy innovation stakeholder relationship overall consistent time‐based agency conflict shareholder manager
2734;ethnic migrant inventor codification recombination knowledge border ethnic migrant inventor local term knowledge bring host unique dataset chinese indian herbal patent filed supply first‐generation ethnic migrant inventor rate codification herbal knowledge u.s assignee identification come exogenous shock quota visa list entity exempted shock ethnic migrant inventor engage reuse knowledge previously locked cultural home region knowledge recombination pursued team comprising inventor ethnic background
500;science-driven market-pioneering tech comparative german technology sector late nineteenth late twentieth century imperial germany considered cradle high-technology industry review organizational innovation germany high-tech industry electricity organic chemical late nineteenth century modern german high-tech sector computing biotechnology late twentieth century underscore enduring cross-sectoral variation high-tech competition contrast science-driven market-pioneering high-tech sector shown historically robust implication so-called european paradox research-and-development level unmatched level commercial performance european high-tech sector
1623;people small-businesses owner entrepreneurship entry industry-specific barrier individual owner business classify industry measure entry barrier proceed investigate determinant entry vary opposed low-barrier field claim financial-capital constraint educational background aspiring small-business owner predict likelihood small-business entry investigated claim irrelevance inconsistent wealth educational background characteristic potential entrepreneur posse predispose distinctly industry choice differing reward available entry barrier characteristic potential entrant word draw industry
1067;recipe dinner business portfolio european biopharmaceutical industry article build analogy business concept recipe discus concept business portfolio analogise dinner view analogy concise shorthand concept propose principle organise money existing activity considering business european biotechnology company explore business portfolio defined range deliver value customer ensure medium term viability future portfolio help balance level promise interdependency business help articulate finance activity medium run ensure idiosyncrasy protect future health
393;r&d organization corporate technological knowledge explore link organization research specifically choice operate centralized decentralized research-and-development structure and innovation produce propose reducing internal transaction research-and-development coordination unit centralized research-and-development generate innovation larger broader subsequent technological evolution decentralized propose facilitating distant capabilities‐broadening search centralized research-and-development generate innovation draw wider range technology prediction concerning mixed prediction concerning breadth search control budget complement direct authority relation contributing innovative propose extension copyright john son
134;silicon valley–hsinchu connection technical community industrial upgrading silicon valley california hsinchu‐taipei region taiwan frequently cited miracle information technology era dominant account success treat isolation focusing free market multinationals argues dynamism regional economy attributable interdependency community us‐educated taiwanese engineer coordinated decentralized reciprocal industrial upgrading transferring skill know‐how taiwan facilitating collaboration specialist producer region underscore significance technical community institution transferring technology organizing production global local level
1612;institutional outsider insider response foreign domestic inventor quality intellectual-property-right protection analyze quality intellectual-property-right ipr protection developing country patent application extend institutional economics propose vary interpretation institution specifically arguing foreign domestic inventor respond institutional signal position institutional outsider insider propose foreign inventor institutional outsider respond positively quality intellectual-property-right protection country democratic political system domestic inventor institutional insider respond positively quality intellectual-property-right protection country quality legal system
1051;age-effect financial indicator buffer liability newness build liability newness suggest accounting information company followed existence evidence financial indicator mitigate liability newness buffering stronger organization represent primary contribution conceptualization accounting measure indicator external creditworthiness enhancing legitimacy internal target management buffer liability newness novel viewing construct explains despite uncertainty opacity theoretically justify empirically validate construct run counter common wisdom construct entrepreneurship identify buffer failure generalizable industry
74;source resilience computer software industry france french hardware manufacturer incapable translating technological advance industrial product understanding opportunity advance offered true focused failure so-called national champion policy incapable explaining french provider service considerable success domestic market wider european market argument advanced active education policy national strategy produced supply valuable competence feed sector addition previous mission-oriented policy encouraged effective technological district nurture appearance plethora innovative
1319;offsetting illegitimacy pressure security analyst influence incumbent technology analyst recommendation affect strategy radical technological shift industry undergoing technological change analyst recommendation trigger change strategic investment period uncertain technological change investment despite analyst recommendation announce value share repurchase action offset growing illegitimacy increased investment signaling alignment shareholder radical technological change source exogenous variation contributes explanation balance technological pressure adaptation institutional pressure legitimacy
594;inside anticommons academic scientist struggle build commercially self-supporting human mutation database proponent tragedy anticommons hypothesis resource fragmented ownership under-exploited describes approximately academic biologist tried trade corporate worldwide depository human mutation obtained million offer deadlocked trying respond failure suggests anticommons exist biotechnology deadlock occurred afford information reach decision advocate tried reduce anticommons information easier obtain opponent added information burden assertion easily checked
809;mid-range university linkage industry knowledge intermediary analyze mid-range university contribute industrial change transfer tacit codified knowledge spinoff licensing patent contract consultancy reach-out graduate researcher mobility archival survey interview relating mid-range university mid-range environment belgium germany sweden suggest mid-range university primarily focus generating world-class critical mass expertise developing intermediary mid-range university develop portfolio university–industry linkage term scope activity interact intermediary role play developing university–industry linkage mid-range university
1265;faculty participation licensing implication exploit unique database disclosure faculty major university period explore extent faculty involvement license activity affected profile relate faculty disclosure industry government-sponsored publication citation recent disclosure faculty positive industry government funding disclose multiple time government funding recent repeated disclosure faculty publication count importance publication term citation examine life-cycle ability attract funding rate publication faculty age decreasing rate post-tenure funding decrease
384;framework industrial knowledge spillover big-science center employed grounded method construct framework describing distinctive mechanism big-science center generate industrial knowledge spillover economy focus large-scale big-science installation typically experimental physic draw network interorganizational learning examine knowledge spillover accruing industrial partner company big-science–industry dyad cern particle accelerator hadron collider lhc addition building grounded framework industrial knowledge spillover demonstrates distinctive potential big-science center offer source knowledge spillover national innovation system
2295;investigating dynamic interdisciplinary evolution technology development global economy technology play vital technology fusion developing outstanding innovation involve transfer knowledge technological industry term interdisciplinarity aim contribute interdisciplinary innovation novel methodological explore conventional technology evolved interdisciplinary technology industry methodological patent citation binomial regression conducted observe dynamic evolution interdisciplinary technology explore interdisciplinary knowledge influence technology development interdisciplinary knowledge play valuable technology investigated industry managerial implication consider developing interdisciplinary technology
1184;determinant collaboration european research-and-development network evidence discrete choice focus interorganizational research-and-development collaboration captured joint funded european framework programme technological eu-fps identify determinant collaboration including actor characteristic relational network geographical discrete choice eu-fp eupro database representative survey participant produce statistically evidence collaboration choice eu-fps primarily facilitated acquaintance thematic proximity geographical proximity network significantly collaboration choice geographical intensive collaboration promising deeper understanding collaboration future governance policy
289;asymmetry‐based view advantage attainable sustainability resource‐based view postulate sustainable abnormal rent accrue valuable rare inimitable non‐substitutable resource capability criterion sustainable resource hard attain dozen overcome dilemma building resource capability asymmetry asymmetry typically skill asset competitor copy affords economic rent rare inimitable non‐substitutable connected engine value creation act liability discovering reconceptualizing asymmetry embedding organizational leveraging appropriate market opportunity asymmetry sustainable capability copyright john son
1479;strategy innovation performance scholarly relationship strategy innovation performance unfailing recent increased focus inbound strategy review transaction competence open-innovation dealing decision strategy conclusion optimum level openness tested empirically taking account degree openness closed semi-open ultra-open relationship sale new-to-the-market product panel spanish community innovation survey survey period closed semi-open strategy common spanish strategy performance semi-open strategy correlated performance closed one hold subsamples size industry robust defining indicator estimation method
90;intellectual property strategy japanese company patent licensing decision learning opportunity intellectual property management explicit knowledge encapsulated managed intellectual-property-right iprs discussed comparative japanese management licensing continuous learning licensing patent information management pim illustrated japanese company actively search technology license extent attitude static active marketing technology license similar shown strategy occurs space defined techno-legal scope technological advantage licensing decision consideration licensee licensor viewpoint dynamic static viewpoint
1056;diaspora domestic entrepreneur evidence indian software industry explores importance cross‐border network entrepreneur developing country examining tie indian expatriate community local entrepreneur india software industry local entrepreneur previously lived outside india rely significantly diaspora network business lead financing especially true entrepreneur outside software hubs where getting lead business accessing finance difficult micro‐evidence consistent view cross‐border network play helping entrepreneur circumvent barrier arising imperfect domestic institution developing country
379;tokamak turbulence ensemble policy technoscientific comparative fusion energy facility examine ensemble technology material method instrument technique constructed connects policymakers influence trajectory performance combination historical interview questionnaire facility position field examine condition job satisfaction develop idea ensemble characterize comparison concept explain reflects policy priority accumulate advantage disadvantage multiple regression demonstrate difference ensemble lead difference condition job satisfaction implication proposed policy fast-changing large-scale field technology
2277;competitive repertoire complexity governance antecedent performance outcome summary past inquiry implementing complex competitive repertoire diverse dynamic array action challenging examination antecedent outcome complex competitive repertoire develops nuanced perspective industry reveal complexity initially harm performance positive factor level agency tournament examine key governance mechanisms ownership executive compensation help shape competitive repertoire principal agency pay gap tournament antecedent competitive complexity interaction exists build especially complex repertoire influence strong
1282;trying company dynamic capability smith corona smith corona world leading manufacturer typewriter challenged exercise dynamic capability dissipation main product category decade life company smith corona tried alter resource base leveraging existing resource creating resource accessing external resource releasing resource extended method advance dynamic capability confronting smith corona rich insight resource alteration dynamic capability operates highlight resource cognition missing element dynamic capability copyright john son
605;proprietary versus public domain licensing software product production knowledge inventor involved setting tension arise individual public private contribution coordination production public knowledge software database sub-optimal demonstrate lead establish norm contribution public outcome achieved public license gpl provision source software mechanism applied specific setting knowledge produced software database academic possibly private example product familiar economist econometric software conclude discussing pricing ameliorate providing product academic
120;future technological forecasting technological forecasting poised respond emerging private public sector organization highly competitive global environment history subject variant form including assessment national foresight roadmapping competitive technological intelligence responded changing institutional motivation renewed focus innovation attention science-based opportunity broad political factor bring renewed attention technological forecasting industry government academia promising tool anticipated borrowing variously field political computer scientometrics innovation management complexity
837;transaction transformation polaroid camera innovation product implication organization competency production network currently product distribution competency production network transaction consideration view consider transformation arise competency production network reorganized change explore nature examining dynamic polaroid corporation innovation camera longitudinal suggests costless redraw boundary camera polaroid relationship stakeholder adversely affected resulting deterioration competitive position suggest critical consider transformation involved radical innovation gain complete picture change systemic industry
2961;european smes engagement open-innovation win participate innovation policy exploratory proposes original methodology operationalize smes engagement challenging dimension implementing open-innovation verify european small-and-medium-enterprises instrument achieving goal providing public fund small-and-medium-enterprises europe innovation champion test methodology small-and-medium-enterprises operating digital sector small-and-medium-enterprises awarded grant engaged challenging dimension open-innovation company receive funding contrary intended goal grant policy methodological implication relevant oi-informed policy effective evaluation company participating small-and-medium-enterprises instrument
2913;immigrant entrepreneurship america evidence survey business owner immigrant entrepreneurship survey business owner first-generation immigrant create america share exceeds conditional basic regression control immigrant-owned tend create fewer job native-owned comparable pay level offer fewer benefit engage international activity prominent tech cluster display pronounced share immigrant entrepreneur suggest immigrant high-tech entrepreneurship tech center happens quantity dimension silicon valley similar tech hub attract immigrant founder
1715;relationship knowledge sourcing fear imitation tap external-knowledge source risk spillover internal knowledge value potential loss imitation capability neighboring organization fear imitation overshadow benefit openness situation voluntarily reduce external source relative knowledge available internally pertaining european invention direct information knowledge source confirm reduce external relative internal knowledge conduct costly location characterized level absorptive capacity specific technology reveals fear imitation mediating factor behavior copyright john son
754;friend acquaintance stranger partner selection research-and-development alliance governance alliance scope partner selection serve safeguard intellectual asset research-and-development alliance categorize potential alliance partner friend acquaintance stranger depending previous alliance experience research-and-development alliance indicate radical alliance innovation goal partner friend stranger stranger acquaintance suggesting partner selection preference transitive suggest partner selection governance alliance scope substitute mechanism protect valuable technological asset appropriation research-and-development alliance
2080;agglomeration choice acquisition alliance information economics perspective summary extends agglomeration joining information economics understand determinant organizational governance choice argue co‐location common geographic cluster foster lower level information asymmetry exchange partner lead employ acquisition alliance external corporate activity extend agglomeration arguing sharing cluster location acquisition versus alliance strengthens level dissimilarity exchange partner knowledge‐based resource intra‐cluster geographic proximity partner evidence alliance acquisition transaction u.s semiconductor industry hypothesis
1264;evaluating research-and-development tax credit innovation microeconometric canadian examines research-and-development tax credit innovation activity canadian manufacturing period federal provincial research-and-development tax credit program manufacturing close third high-technology sector investigate average research-and-development tax credit series innovation indicator product sale product originality innovation non-parametric matching compared hypothetical situation absence research-and-development tax credit recipient tax credit significantly score performance indicator conclude tax credit lead additional innovation output
2993;patent corporate credit risk vast document positive relationship patent company market performance evidence influence patent company debt capacity remains sparse article examine relationship company patent portfolio credit rating providing relevant albeit indirect evidence patent debt funding mechanism panel dataset u.s positive relationship company credit rating size patent portfolio indicator valuable patent mixed picture positive link average family size company patent portfolio credit rating surprisingly relationship patent forward citation company rating hypothesize citation patent lawsuit potentially incurring substantial loss creditor
1776;divide pie equity distribution entrepreneurial team drawing multiple entrepreneurial team observed month article develops dynamic consequence equity distribution team perceived justice equity distribution emerged key variable influencing entrepreneurial team interaction entrepreneurial outcome perceived justice triggered positive team interaction spiral low perceived justice triggered interaction spiral team exposed external threat drifted positive spiral spiral despite perceived justice discus implication entrepreneurial imprint justice exit
870;matter institutional foreign affiliate performance article investigates level institutional host country level variation foreign affiliate performance institutional defined extent economic political institution host developed favorable foreign affiliate longitudinal foreign affiliate‐year include foreign affiliate host country foreign affiliate performance varies noticeably host country suggest level institutional determined institutional index idi measurement developed strong curvilinear relationship variation foreign affiliate performance level foreign affiliate performance implication future policymaking discussed copyright john son
2037;agency stage ceo tenure option board independence research-and-development investment examines research-and-development investment shaped governance device combining agency limited competence managerial opportunism suggests governance device exert differing stage ceo tenure ceo tenure research-and-development investment reduced option board independence stage reverse research-and-development investment enhanced option board independence test u.s company hypothesized policy maker implies research-and-development investment enhanced setting rule standard governance account ceo office
2430;analyze technology lifecycle perspective patent characteristic dvd hard drive aim analyze technology lifecycle perspective dynamic patent characteristic dynamic patent characteristic proposed characterizing technology lifecycle dvd hard drive technology experienced complete technology lifecycles selected analyzing patent characteristic function stage technology lifecycles obtain objective obtained channel ass nature innovation strategy technology lifecycles observed patent attempt cite patent non‐patent reference stage technological source contribute technological innovation litigated patent granted stage expected patent stage relevant dominant patent granted stage
1233;evaluating efficiency national research-and-development programme relying efficiency evaluate extent policy maker promote establishment consolidated comprehensive contribute implementation innovation spanish food technology sector oriented production knowledge application envelopment technique allow calculation generalized version traditional distance function productive efficiency pervasive level inefficiency typology strategy contrast assumed established play pre-eminent benchmarking partially oriented specialized shooting star common pattern correspond infant innovation fostering level efficiency promotion pattern ongoing
2083;thinking theorizing testing u‐and inverted u‐shaped relationship strategy summary inverted shaped relationship increasingly explored strategy percent article published trategic anagement ournal smj investigating quadratic relationship movement introducing moderation quadratic relationship emerged reviewing article published smj identify critical issue theorizing testing relationship current fall short include insufficient causal argumentation incorrect testing mixing moderation realizing curve flip completely issue guideline followed bring clarity theoretical motivation rigor testing
516;university–industry interaction biotech industry focus geography entrepreneurship industry‐collaborative link internationally nationally local level biotech industry world largest biotech industry report pilot survey biotech industry survey goal understand business goal examine relative importance local condition business biotech evidence theme come oxfordshire centre biomedical biotechnology survey county biotech academic spin‐offs demonstrates business biotech intimately tied national innovation dependent highly localised elite signal world elite region hot‐spot innovation
262;innovation mode swiss service sector cluster firm-level aim firstly contribute understanding innovation pattern service similar term set innovation indicator cluster swiss identify cluster exhibit configuration innovation-related factor appropriability structural property size cluster interpreted specific innovation mode secondly investigated mode economically equivalent unordered classifying similar appropriate ranking industry innovativeness evidence support classification ranking procedure completely refuted finally yield insight difference innovation pattern prevailing service manufacturing
387;critical juncture university high-tech spinout company investigates university spinout company usos employing case-based method element usos distinct phase activity venture pas previous phase progress phase involves iterative non-linear revisit earlier decision activity interstice phase venture critical juncture term resource capability acquire progress phase phase critical venture develop phase overcoming juncture identify critical juncture spinout company overcome succeed opportunity recognition entrepreneurial commitment credibility sustainability
1688;family research-and-development behavior–new evidence large-scale survey analyzes founder family influence research-and-development intensity information research-and-development come large-scale bi-annual survey listed german research-and-development intensity actively managed family family control voting right family control line hitherto existing positive family management surprising positive disappears follow previous research-and-development information financial statement puzzling corporate opacity opaque family managed report conservative research-and-development expenditure especially financial constraint lead under-estimation research-and-development intensity accounting figure
1176;business transformation heterogeneous environment market strength retrenchment reconfiguration asset reconfiguration divestiture underlies business transformation reconfiguration remains poorly understood country limited market infrastructure argue developed infrastructure facilitates resource reconfiguration assisting weak attempt retrench strong attempt grow market shape reconfiguration enhancing benefit adding asset limiting benefit divestiture examine reconfiguration activity south east asian economies hong kong indonesia korea malaysia philippine singapore taiwan thailand from contributes business dynamic varied setting market‐based socioeconomic
2271;alliance portfolio reconfiguration following technological discontinuity summary technological discontinuity generate second‐order alliance formation termination leading reconfiguration alliance portfolio following technological shock argue seek alliance resource incentive form alliance reinforced challenged resource resource parallel alliance termination involving resource unaffected discontinuity limit alliance carrying capacity biopharmaceutical faced technological discontinuity form combinatorial chemistry high‐throughput screening improve understanding technological discontinuity affect value resource reconfigure alliance portfolio response
2924;difference accelerator explain difference performance venture evidence accelerator country difference accelerator explain difference performance venture underexplored question conversely accelerator isomorphic copy venture accelerator report little performance difference variance decomposition test variation characteristic accelerator explain performance difference venture belong venture accelerator program country variance venture performance attributed accelerator membership accelerator membership accounted variance employee employee revenue change suggest accelerator difference economic difference venture performance
1633;channel technology sourcing panel evidence german company innovation corporation increasingly tap international technology source little relative contribution innovation channel investigate effectiveness international technology sourcing activity survey information german company complemented information european patent office german inventor disproportionately research-and-development knowledge located positive influence total factor productivity larger inventor coapplications patent company cooperation american supplier enables german tap r&d cooperation customer competitor appear aid technology sourcing suggest brain drain upside corporation tapping american know‐how
106;national innovation policy developing country cyprus analysis concept national innovation policy nip forward argument supporting nip developing economy cyprus brief outline science/technology infrastructure current innovation policy cyprus attitude owners/managers private manufacturing policy survey examined survey reveals ambivalent attitude nip probably unrealistic expectation inefficiency implementation innovation policy measure confirms conclusion highlight importance nip private despite rhetoric manager formulation specific nip cyprus considered lesson developing country drawn
1095;owner identity external governance system research-and-development investment western european build agency institutional extend ownership control research-and-development investment considering influence ownership institutional corporate governance system unique dataset publicly-traded european country france germany italy norway sweden controlling industry firm-level shareholding family negatively research-and-development investment widely-held invest research-and-development united kingdom continental european country suggesting existence pressure reduction research-and-development market-based governance system robust selection bias discretional research-and-development disclosure
1037;marching beat drummer influence institutional owner competitive action extends agency exploring influence varied competing principal executive action reveal ownership dedicated institutional investor hold concentrated portfolio positively strategic competitive action ownership transient institutional investor hold broad portfolio frequent trade current earnings negatively strategic competitive action positively tactical one appreciable ownership class investor influence strategic tactical competitive action broad implication executive investor policy maker
760;joint research-and-development complex system framework proposes analyze joint research-and-development systemic argue joint research-and-development economic organizational reality studied principal aspect perspective developed fulfill objective view network partner constituted undertake define joint research-and-development sociotechnical interaction environment explain subsystem technological structural governance european institution involved wide range joint research-and-development evidence explain joint research-and-development separate subsystem characteristic variable interrelatedness subsystem factor determine governance joint including practical implication useful running management
1112;assessing contribution innovation private equity investor european buyout patenting activity western european manufacturing undergoing buyout panel test characteristic deal private equity affect acquired company subsequent innovation effort measured patent granted epo view innovation activity portfolio affected investor pursuing objective differing risk propensity expected return investment policy characteristic lead investor size stage specialization geographical location deal invested presence multiple investor investigated affect post-buyout innovation activity
186;determinant innovation capability electronics software southeast england explores determinant innovation capability electronics software experimental innovation index alongside conventional proxy innovative performance indicator correlated variable capturing range potentially internal sources such education experience research-and-development effort as measure intensity external interaction proximity network relation importance r&d key played regional base nurturing high-tech spinoff proximity supplier current policy fashion encouraging regional network revolving similar business activity close customer relation
374;spillover publicly financed business r&d evidence germany investigates interindustry research-and-development spillover publicly financed business research-and-development private research-and-development effort productivity west german manufacturing industry suggest distinguish spillover privately publicly financed business r&d estimation evidence productivity-enhancing spillover privately financed research-and-development clear-cut publicly financed r&d evidence private research-and-development effort higher-technology industry stimulated spillover privately financed research-and-development spillover publicly financed r&d public funding research-and-development higher-technology industry induce private research-and-development investment industry
1803;spinoff mobility merchant semiconductor inventor inventor assignee patent analyze mobility semiconductor inventor exploiting origin semiconductor producer larger sale argue mobility semiconductor inventor silicon valley entry spinoff evidence suggests spinoff entry promoted mobility silicon valley industry clustered agglomeration economy ban noncompete covenant influence spinoff entry spinoff promote mobility absence condition inventor mobility silicon valley corresponds inventor moving incumbent recent entrant benefit arise mobility rate disproportionately reaped
2667;managerial challenge outbound open-innovation spinout initiative astrazeneca open-innovation flourishing attention outbound comparison inbound coupled open-innovation analyze qualitative global bio‐pharmaceutical company astrazeneca attempt establish spinout initiative internal transferred entrepreneurial startup funded external venture-capital explain enactment initiative identify emerged managerial challenge linked internal decision‐making cultural psychological barrier phrase not‐invented‐elsewhere nie syndrome ability translate communicate internal attractive external proposal theoretical managerial implication relation challenge outlined discussed
1221;evaluate success university–industry alliance performance measurement increasingly engage formal alliance university lack tool ass outcome collaboration propose performance measurement university–industry alliance derive success map existing university–industry relation indicating causal relationship underpinning alliance success map distinguishes stage including input in‐process activity output discus specific measure stage deployed resulting framework includes prospective retrospective measure subjective objective measure research-and-development manager tool assessing university–industry alliance prospective reliable multi‐dimensional
1335;multinational-enterprises geographical clustering innovation geographic clustering economic activity date twentieth century recognized spite advance transportation communication clustering remains critical consequently prevalent knowledge-intensive field multinational-enterprises mnes increasingly base value creation competitive advantage knowledge-intensive activity key participant cluster affecting nature intertemporal evolution local innovative activity multinational-enterprises cluster remains under-researched trace origin geographic cluster identifies seminal contribution focusing mnes discus potential inherent inquiry develops organizing framework
744;global distribution micro–nano technology fabrication center portfolio micro nano technology mnt potential economic engine capability basis regional national job wealth creation suggested mnt information technology medium form basis schumpeterian kondratief wave government recognizing mnt enabling technology exceptional economic potential embraced centerpiece technology policy country region expression technology policy creating national center embrace promise mnt international micro nano technology center mntc variety form
1074;creative imitation exploring cross‐industry innovation cross‐industry innovation existing solution industry creatively imitated retranslated meet company current market product solution technology patent specific knowledge capability business principle business innovation systematically created cross‐industry phenomenon respect open-innovation cognitive distance acquired knowledge solved regarded counterproductive factor recent regard positively innovation performance following examine cross‐industry ascertain cognitive distance influence innovation performance reveals direct correlation closer distance explorative exploitative outcome
2014;patent facilitate trade technology testing disclosure appropriation evidence suggests patent facilitate technology transaction reason unclear patent assist trade technology protecting buyer expropriation idea appropriation information sharing negotiation phase publication technical detail contained patent document disclosure estimate strength exact matching novel dataset technology transaction negotiation evidence appropriation disclosure technology transaction negotiation involving granted patent instead pending patent test appropriation significantly completed appropriation stronger technology field patent protection effective biotech chemical drug medical
940;information leakage innovation outsourcing research-and-development outsourcing contract contractor considering possibility interim stage contractor sell innovation rival competition interim stage reward prevent leakage pushed extent profitable leakage‐free contract exist apply considering revenue‐sharing scheme disclosure punishment commercial theft demonstrate competitive mechanism research-and-development hire contractor relative performance scheme disclosure punishment help exists perfect bayesian nash equilibrium probability information leakage lower equilibrium reward cheaper hiring contractor
1914;interactive learning firm-level capability latecomer setting nigerian manufacturing industry combining insight strategic management evolutionary economics latecomer capability literature analysis relationship interactive learning capability nigerian manufacturing distinction formal informal mode interactive learning multivariate probit estimation mode positively firm-level capability informal interaction dominate implication policy capable innovating connect externally-generated knowledge apparent difference importance formal informal linkage suggests choice form linkage non-trivial suggests broad-based policy nurture linkage
291;insider trading vehicle appropriate rent research-and-development insider trading routine legal investor treat information prospects they assume trade reflect manager attempt profit private information article explores insider trading mechanism appropriate rent research-and-development advance analyze price reaction insider‐trading event insider purchase generate larger positive price reaction r&d‐intensive investor assume manager insider trading appropriate rent research-and-development breakthrough discus shareholder prefer rent appropriation mechanism form compensation directly reduce income copyright john son
113;automobile technological system european country aim automobile industry largest european country france germany britain italy sectoral perspective main relationship building block constituting automobile technological mapped evaluated sectoral property emerge hold country extent suggesting institutional set-up differentiating element varied change element automobile technological detected stable path country considered reveal pattern motor vehicle trade specialisation geographical change foreign direct investment existence differentiated internationalisation pattern outward/inward balance
1833;just-in-time patent standard modern technical standard include patented technology required implement standard standard-essential patent valuable asset patent prepared spend billion dollar purchasing standard-essential patent granted focus company obtain patent analyzing original standardization demonstrate company strategy just-in-time patenting apply patent low technical merit standardization meeting send patent inventor meeting negotiate patented technology standard implication standard-setting organization patent office policymakers inclusion just-in-time patent reduce competition market entry price unnecessarily complicate technological content standard
1032;transfer strategy university relationship innovation performance representative swiss empirically investigated strategy knowledge technology transfer ktt activity business university public institution cluster form ktt ktt strategy identified significantly correlated mainly absorptive capacity factor hampering ktt activity iii characteristic transfer partner existence contact foreign university utilization mediating service transfer office furthermore ktt strategy core transfer activity research-and-development contract stronger correlated innovation performance compared strategy softer transfer form
